Sum of cases,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Grand Total,,,,,,,,,,,,,,
Jan,80023,106178,395135,78208,79677,166187,379778,84460,124971,206015,1099753,2800385,,,,,,,,,,,,,,
Feb,90270,210963,597685,90334,74477,227209,514421,123121,151117,357386,2050738,4487721,,,,,,,,,,,,,,
Mar,110044,399804,735043,130417,81449,341659,391000,205386,444748,815778,2771820,6427148,,,,,,,,,,,,,,
Apr,210804,530110,425970,111638,92428,504686,327885,192091,582905,808498,2703638,6490653,,,,,,,,,,,,,,
May,130929,305081,206294,145033,96233,673702,186134,154656,522756,774110,2154224,5349152,,,,,,,,,,,,,,
Jun,84829,169044,128096,93326,65573,299467,129786,132128,340775,323890,723554,2490468,,,,,,,,,,,,,,
Jul,91940,144899,83790,86037,62269,263768,119593,74367,166851,264192,534585,1892291,,,,,,,,,,,,,,
Aug,71450,102476,103361,76476,68250,258848,74320,64292,156933,365031,431568,1773005,,,,,,,,,,,,,,
Sep,82316,114478,63347,56151,60918,218517,94984,74582,128738,346893,451679,1692603,,,,,,,,,,,,,,
Oct,117901,111475,65712,60306,85406,255836,80621,63728,136563,347346,549388,1874282,,,,,,,,,,,,,,
Nov,71936,115287,78565,70153,71310,176618,73366,71795,165612,371172,383430,1649244,,,,,,,,,,,,,,
Dec,64202,192047,50002,41929,69587,132970,63072,104281,104852,295173,273058,1391173,,,,,,,,,,,,,,
Grand Total,1206644,2501842,2933000,1040008,907577,3519467,2434960,1344887,3026821,5275484,14127435,38318125,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of cases,Column Labels,,,,,,,,,,,,,Sum of cases,Column Labels,,,,,,,,,,,
Row Labels,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Grand Total,,Row Labels,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Grand Total
Jan,80023,106178,395135,78208,79677,166187,379778,84460,124971,206015,1099753,2800385,,Jan,0.080023,106178,395135,78208,79677,166187,379778,84460,124971,206015,1099753,2800385
Feb,90270,210963,597685,90334,74477,227209,514421,123121,151117,357386,2050738,4487721,,Feb,90270,210963,597685,90334,74477,227209,514421,123121,151117,357386,2050738,4487721
Mar,110044,399804,735043,130417,81449,341659,391000,205386,444748,815778,2771820,6427148,,Mar,110044,399804,735043,130417,81449,341659,391000,205386,444748,815778,2771820,6427148
Apr,210804,530110,425970,111638,92428,504686,327885,192091,582905,808498,2703638,6490653,,Apr,210804,530110,425970,111638,92428,504686,327885,192091,582905,808498,2703638,6490653
May,130929,305081,206294,145033,96233,673702,186134,154656,522756,774110,2154224,5349152,,May,130929,305081,206294,145033,96233,673702,186134,154656,522756,774110,2154224,5349152
Jun,84829,169044,128096,93326,65573,299467,129786,132128,340775,323890,723554,2490468,,Jun,84829,169044,128096,93326,65573,299467,129786,132128,340775,323890,723554,2490468
Jul,91940,144899,83790,86037,62269,263768,119593,74367,166851,264192,534585,1892291,,Jul,91940,144899,83790,86037,62269,263768,119593,74367,166851,264192,534585,1892291
Aug,71450,102476,103361,76476,68250,258848,74320,64292,156933,365031,431568,1773005,,Aug,71450,102476,103361,76476,68250,258848,74320,64292,156933,365031,431568,1773005
Sep,82316,114478,63347,56151,60918,218517,94984,74582,128738,346893,451679,1692603,,Sep,82316,114478,63347,56151,60918,218517,94984,74582,128738,346893,451679,1692603
Oct,117901,111475,65712,60306,85406,255836,80621,63728,136563,347346,549388,1874282,,Oct,117901,111475,65712,60306,85406,255836,80621,63728,136563,347346,549388,1874282
Nov,71936,115287,78565,70153,71310,176618,73366,71795,165612,371172,383430,1649244,,Nov,71936,115287,78565,70153,71310,176618,73366,71795,165612,371172,383430,1649244
Dec,64202,192047,50002,41929,69587,132970,63072,104281,104852,295173,273058,1391173,,Dec,64202,192047,50002,41929,69587,132970,63072,104281,104852,295173,273058,1391173
Grand Total,1206644,2501842,2933000,1040008,907577,3519467,2434960,1344887,3026821,5275484,14127435,38318125,,Grand Total,1206644,2501842,2933000,1040008,907577,3519467,2434960,1344887,3026821,5275484,14127435,38318125
